,game_id,home_team_id,away_team_id,home_team_name,away_team_name,date,home_points,away_points,Season
81,d8e5f800-0061-45c6-aa78-acccc5d21c92,3c409388-ab73-4c7f-953d-3a71062240f6,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Chicago Sky,New York Liberty,2020-08-25T23:00:00Z,99,101,2020
82,6e3da5d7-17ea-42d4-9a98-1a7ea836b5a2,5f0b5caf-708b-4300-92f2-53b51d83ec06,171b097d-01db-4ae8-9d56-035689402ec6,Dallas Wings,Las Vegas Aces,2020-08-26T01:00:00Z,92,96,2020
83,6a064f5d-1bc7-4dc4-a53d-72edc9ff1eda,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,f073a15f-0486-4179-b0a3-dfd0294eb595,Seattle Storm,Indiana Fever,2020-08-26T02:00:00Z,87,74,2020
84,76a30e27-3bf4-4d80-881f-21e652b38f15,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Atlanta Dream,Washington Mystics,2020-08-26T23:00:00Z,na,na,2020
85,24d38b90-0f98-4e0f-b487-5b4a17bf9acf,6f017f37-be96-4bdc-b6d3-0a0429c72e89,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Minnesota Lynx,Los Angeles Sparks,2020-08-27T00:00:00Z,na,na,2020
86,715ce8d7-394a-4b77-9e84-3e95bb525179,0699edf3-5993-4182-b9b4-ec935cbd4fcc,a015b02d-845c-40c1-8ef4-844984f47e4d,Phoenix Mercury,Connecticut Sun,2020-08-27T02:00:00Z,na,na,2020
87,a3fb796d-fc14-4621-9603-6ba85367c7d0,f073a15f-0486-4179-b0a3-dfd0294eb595,3c409388-ab73-4c7f-953d-3a71062240f6,Indiana Fever,Chicago Sky,2020-08-27T23:00:00Z,na,na,2020
88,30f02004-e0ff-46b1-b88c-b254b8c2fbb0,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5f0b5caf-708b-4300-92f2-53b51d83ec06,New York Liberty,Dallas Wings,2020-08-28T00:00:00Z,na,na,2020
89,af5995c9-3e07-49ea-9796-446558c3fe36,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,171b097d-01db-4ae8-9d56-035689402ec6,Seattle Storm,Las Vegas Aces,2020-08-28T02:00:00Z,na,na,2020
90,41c73e33-6ddb-4089-b8e1-5675d44ffb67,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Atlanta Dream,Minnesota Lynx,2020-08-28T23:00:00Z,79,88,2020
91,8325febf-cf8c-4fa6-a026-600ff9848e50,a015b02d-845c-40c1-8ef4-844984f47e4d,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Connecticut Sun,Los Angeles Sparks,2020-08-29T00:00:00Z,76,80,2020
92,7a4255ef-3492-43d0-8fca-b7132a2886c5,0699edf3-5993-4182-b9b4-ec935cbd4fcc,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Phoenix Mercury,Washington Mystics,2020-08-29T02:00:00Z,94,72,2020
93,d127998f-a85d-4765-bf0a-5c6844748bd7,171b097d-01db-4ae8-9d56-035689402ec6,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Las Vegas Aces,New York Liberty,2020-08-29T16:00:00Z,80,63,2020
