,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player_Name,Twitter_handle
83,84,Steven Adams_adamsst01,OKC,12,12,27.2,4.3,7.3,0.598,0.0,0.1,0.0,1.5,3.2,0.474,3.8,6.3,10.1,1.2,0.4,0.3,2.0,1.8,10.2,9.5,Steven Adams,adamsst01
84,85,Jeff Green_greenje02,HOU,20,2,27.3,4.7,9.3,0.505,1.9,5.0,0.374,1.5,1.8,0.857,0.3,3.7,4.0,1.9,0.6,0.5,1.1,2.6,12.8,9.5,Jeff Green,greenje02
85,86,Rajon Rondo_rondora01,LAL,16,0,24.7,3.4,7.6,0.455,1.3,3.1,0.4,0.8,1.2,0.684,0.8,3.5,4.3,6.6,1.4,0.1,2.1,2.3,8.9,9.5,Rajon Rondo,rondora01
86,87,Terrence Ross_rosste01,ORL,11,0,27.4,5.0,12.1,0.414,2.3,7.3,0.313,3.0,3.4,0.892,0.1,3.6,3.7,1.2,1.1,0.3,1.5,2.5,15.3,9.5,Terrence Ross,rosste01
87,88,Victor Oladipo_oladivi01,IND,10,10,31.3,5.6,14.1,0.397,2.4,6.8,0.353,3.1,3.4,0.912,0.2,4.5,4.7,2.7,1.5,0.1,3.3,2.9,16.7,9.4,Victor Oladipo,oladivi01
88,89,Jakob Poeltl_poeltja01,SAS,8,8,25.8,3.9,6.0,0.6459999999999999,0.0,0.0,,0.5,1.5,0.33299999999999996,3.4,4.8,8.1,1.8,0.9,1.4,1.1,3.8,8.3,9.4,Jakob Poeltl,poeltja01
89,90,Dennis Schröder_schrode01,OKC,9,1,30.4,6.1,14.3,0.426,1.8,5.6,0.32,2.8,3.4,0.8059999999999999,0.2,3.0,3.2,3.4,0.7,0.1,2.7,2.6,16.8,9.4,Dennis Schröder,schrode01
90,91,Trey Burke_burketr01,DAL,14,4,24.8,4.6,10.1,0.461,1.7,3.9,0.444,1.1,1.5,0.762,0.2,2.2,2.4,3.0,1.2,0.2,1.1,1.9,12.1,9.3,Trey Burke,burketr01
91,92,Jae Crowder_crowdja01,MIA,28,28,30.0,3.9,9.0,0.43799999999999994,2.8,7.1,0.385,1.3,1.8,0.74,0.5,4.8,5.3,1.8,0.7,0.5,0.8,2.6,11.9,9.3,Jae Crowder,crowdja01
92,93,Dorian Finney-Smith_finnedo01,DAL,13,13,31.7,4.0,9.0,0.444,2.0,5.2,0.382,0.9,1.2,0.75,2.5,4.2,6.7,2.8,0.6,0.4,1.2,3.5,10.9,9.3,Dorian Finney-Smith,finnedo01
93,94,Timothé Luwawu-Cabarrot_luwawti01,BRK,12,5,26.1,4.9,11.3,0.434,3.0,7.5,0.4,2.3,2.6,0.903,0.5,3.8,4.3,0.8,0.5,0.1,1.1,3.3,15.2,9.3,Timothé Luwawu-Cabarrot,luwawti01
94,95,Jordan Clarkson_clarkjo01,UTA,15,2,25.2,5.9,14.1,0.42200000000000004,2.6,7.3,0.358,1.7,2.0,0.867,0.3,2.6,2.9,1.8,0.6,0.1,1.5,2.1,16.2,9.2,Jordan Clarkson,clarkjo01
95,96,Grayson Allen_allengr01,MEM,8,0,27.6,4.8,9.4,0.507,3.0,6.3,0.48,1.1,1.3,0.9,0.4,2.0,2.4,1.1,0.5,0.1,1.3,2.1,13.6,9.1,Grayson Allen,allengr01
96,97,OG Anunoby_anunoog01,TOR,17,17,33.1,3.5,7.5,0.465,1.4,3.2,0.444,1.8,2.6,0.705,1.9,3.9,5.8,1.3,1.1,0.9,1.2,2.3,10.2,9.1,OG Anunoby,anunoog01
