Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
105,Marcus Morris\morrima03,LAC,20,20,29.8,4.3,8.6,.503,1.9,4.2,.446,1.1,1.3,.880,0.8,3.9,4.7,1.5,0.8,0.2,0.9,2.9,11.6,8.9
106,Derrick Favors\favorde01,NOP,6,6,25.6,3.3,5.7,.588,0.0,0.0,,0.7,1.5,.444,2.7,6.7,9.3,1.0,0.8,0.3,0.7,1.3,7.3,8.8
107,Evan Fournier\fournev01,ORL,10,10,31.5,4.6,11.7,.393,2.0,6.3,.317,2.4,3.2,.750,0.4,3.0,3.4,2.9,0.7,0.4,1.4,2.4,13.6,8.8
108,Al Horford\horfoal01,PHI,11,7,27.8,3.8,7.3,.525,0.9,2.1,.435,0.9,1.3,.714,1.8,4.8,6.6,3.2,0.1,1.0,1.6,2.5,9.5,8.8
109,Danuel House\houseda01,HOU,14,9,32.4,4.4,10.1,.430,2.5,6.9,.361,1.1,1.3,.833,0.8,4.4,5.2,1.4,0.8,0.1,0.9,2.5,12.3,8.8
110,Frank Mason\masonfr01,MIL,5,0,13.5,3.6,6.4,.563,0.8,2.2,.364,1.6,2.6,.615,0.4,1.8,2.2,3.8,0.6,0.2,1.0,1.4,9.6,8.8
111,Cameron Payne\payneca01,PHO,8,0,22.9,4.1,8.5,.485,1.9,3.6,.517,0.8,0.9,.857,0.5,3.4,3.9,3.0,1.0,0.3,1.4,2.5,10.9,8.8
112,Norman Powell\powelno01,TOR,19,3,25.4,4.6,9.8,.473,1.9,4.7,.416,2.3,2.7,.827,0.4,2.5,2.9,1.3,0.6,0.4,1.3,2.3,13.5,8.8
113,Duncan Robinson\robindu01,MIA,29,29,28.2,3.9,8.6,.448,3.1,7.6,.406,1.8,2.0,.912,0.2,2.5,2.7,1.7,0.5,0.3,0.9,2.7,12.6,8.8
114,Jerome Robinson\robinje01,WAS,8,2,28.9,5.0,11.8,.426,2.3,6.1,.367,2.5,3.5,.714,0.5,2.4,2.9,2.8,0.8,0.4,1.9,3.6,14.8,8.8
115,Ben Simmons\simmobe01,PHI,3,3,28.8,4.7,10.0,.467,0.0,0.3,.000,2.3,4.7,.500,1.7,5.3,7.0,4.3,1.3,0.3,2.7,4.3,11.7,8.6
116,Monte Morris\morrimo01,DEN,27,8,23.7,3.9,8.0,.484,0.9,2.5,.338,1.9,2.3,.852,0.3,1.7,2.0,2.9,0.5,0.1,0.7,1.1,10.5,8.5
117,Jerami Grant\grantje01,DEN,26,18,33.4,4.3,9.7,.442,1.6,4.9,.323,2.6,3.0,.859,0.5,2.7,3.2,1.3,0.7,0.8,1.3,2.8,12.7,8.4
118,Daniel Theis\theisda01,BOS,24,24,27.7,3.6,6.7,.534,0.4,1.7,.244,1.3,1.7,.780,1.8,5.2,7.0,1.7,0.3,1.3,0.9,3.5,8.9,8.4
119,Darius Bazley\bazleda01,OKC,15,1,23.1,3.3,7.9,.424,2.0,4.2,.476,1.3,1.7,.800,0.7,5.7,6.5,1.2,0.2,0.6,0.7,0.8,10.0,8.3
120,Josh Hart\hartjo01,NOP,8,2,24.0,3.1,6.4,.490,1.3,3.6,.345,2.1,3.0,.708,0.9,6.0,6.9,1.8,0.5,0.3,1.3,2.0,9.6,8.3
121,Marco Belinelli\belinma01,SAS,5,0,21.0,3.4,8.6,.395,2.0,4.6,.435,3.2,3.4,.941,0.6,1.2,1.8,1.0,0.4,0.0,0.6,0.8,12.0,8.2
122,Jevon Carter\carteje01,PHO,8,0,23.9,2.4,4.8,.500,2.0,3.6,.552,0.3,0.3,1.000,0.6,1.9,2.5,2.4,1.1,0.5,0.1,1.3,7.0,8.1
123,Patty Mills\millspa02,SAS,3,0,18.3,3.7,7.3,.500,2.0,4.7,.429,1.3,1.3,1.000,1.0,2.0,3.0,2.0,0.3,0.0,1.0,2.3,10.7,8.1
124,Shake Milton\miltosh01,PHI,12,12,26.6,3.9,8.7,.452,1.7,4.5,.370,1.5,1.8,.857,0.4,2.3,2.8,3.7,0.3,0.1,1.3,3.0,11.0,7.8
125,Aaron Holiday\holidaa01,IND,12,9,26.7,3.6,7.3,.489,0.9,2.3,.407,1.3,1.7,.750,0.2,2.3,2.4,3.5,1.2,0.3,1.4,2.3,9.3,7.7
126,Raul Neto\netora01,PHI,7,0,18.4,3.6,8.0,.446,1.1,3.1,.364,1.9,2.3,.813,0.0,1.7,1.7,3.0,0.4,0.1,0.9,1.0,10.1,7.7
127,Seth Curry\curryse01,DAL,11,5,27.3,4.5,8.6,.516,1.7,3.8,.452,1.0,1.3,.786,0.3,1.3,1.5,1.2,0.7,0.1,0.9,2.4,11.6,7.6
128,Markelle Fultz\fultzma01,ORL,13,6,25.4,4.8,12.0,.404,0.9,2.5,.364,1.5,1.9,.800,0.5,2.3,2.8,4.7,0.9,0.3,2.2,2.8,12.2,7.6
129,George Hill\hillge01,MIL,17,3,25.7,2.8,6.3,.449,1.1,3.1,.346,2.2,2.6,.841,0.6,2.2,2.8,3.5,0.6,0.1,1.4,1.5,8.9,7.6
130,Drew Eubanks\eubandr01,SAS,8,0,17.7,2.8,4.9,.564,0.0,0.0,,1.5,1.9,.800,2.5,3.8,6.3,1.3,0.4,1.4,1.4,2.0,7.0,7.5
131,Buddy Hield\hieldbu01,SAC,8,0,21.4,5.3,12.5,.420,3.4,8.8,.386,0.4,0.6,.600,0.0,2.8,2.8,2.0,0.8,0.0,2.3,1.9,14.3,7.5
132,Hassan Whiteside\whiteha01,POR,11,3,18.5,2.8,4.5,.620,0.1,0.1,1.000,1.6,2.5,.643,1.9,4.5,6.5,0.5,0.3,1.7,0.8,3.1,7.4,7.5
133,Boban Marjanović\marjabo01,DAL,13,3,12.8,3.2,5.2,.618,0.0,0.2,.000,1.1,1.5,.737,1.5,4.6,6.1,0.9,0.1,0.4,0.5,1.4,7.5,7.3
134,Garrett Temple\templga01,BRK,11,8,29.1,3.7,10.2,.366,2.2,6.9,.316,1.7,1.8,.950,0.1,3.5,3.5,2.1,0.7,0.4,1.0,2.3,11.4,7.3
